id,feature,feature_priority,page_name,page_slug,page_type,status,procore_url,screenshot_path,alleato_route,button_count,form_field_count,table_column_count,implementation_notes
budget/currency-configuration,Budget,critical,Currency Configuration,currency-configuration,settings,not_started,https://us02.procore.com/webclients/host/companies/562949953443325/tools/currency-configuration,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/currency-configuration/screenshot.png,,4,0,0,
budget/daily_log_types,Budget,critical,Daily Log Types,daily_log_types,other,not_started,https://us02.procore.com/562949953443325/company/admin/daily_log_types,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/daily_log_types/screenshot.png,,1,0,0,
budget/documentsecurity,Budget,critical,Documentsecurity,documentsecurity,other,not_started,https://us02.procore.com/webclients/host/companies/562949953443325/tools/documentsecurity,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/documentsecurity/screenshot.png,,4,0,0,
budget/earlyaccess,Budget,critical,Earlyaccess,earlyaccess,other,not_started,https://us02.procore.com/webclients/host/companies/562949953443325/tools/earlyaccess,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/earlyaccess/screenshot.png,,31,0,0,
budget/erp_integrations,Budget,critical,Erp Integrations,erp_integrations,other,not_started,https://us02.procore.com/562949953443325/company/erp_integrations,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/erp_integrations/screenshot.png,,3,0,0,
budget/forecast_templates,Budget,critical,Forecast Templates,forecast_templates,other,not_started,https://us02.procore.com/companies/562949953443325/forecast_templates,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/forecast_templates/screenshot.png,,3,0,0,
budget/generic_tools_correspondence_types_true,Budget,critical,Generic Tools Correspondence Types True,generic_tools_correspondence_types_true,other,not_started,https://us02.procore.com/562949953443325/company/admin/generic_tools?correspondence_types=true,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/generic_tools_correspondence_types_true/screenshot.png,,4,0,0,
budget/home,Budget,critical,Home,home,other,not_started,https://us02.procore.com/562949953443325/company/home,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/home/screenshot.png,,3,0,0,
budget/meeting_templates,Budget,critical,Meeting Templates,meeting_templates,other,not_started,https://us02.procore.com/562949953443325/company/admin/meeting_templates,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/meeting_templates/screenshot.png,,4,0,0,
budget/privacy-policy,Budget,critical,Privacy Policy,privacy-policy,other,not_started,https://www.procore.com/fine-print/privacy-policy,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/privacy-policy/screenshot.png,,35,0,0,
budget/procore_expense_allocations,Budget,critical,Procore Expense Allocations,procore_expense_allocations,list,not_started,https://us02.procore.com/562949953443325/company/admin/procore_expense_allocations,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/procore_expense_allocations/screenshot.png,,1,0,0,
budget/project_dates,Budget,critical,Project Dates,project_dates,other,not_started,https://us02.procore.com/562949953443325/company/project_dates,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/project_dates/screenshot.png,,2,0,0,
budget/project_roles,Budget,critical,Project Roles,project_roles,other,not_started,https://us02.procore.com/562949953443325/company/project_roles,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/project_roles/screenshot.png,,2,0,0,
budget/project_template,Budget,critical,Project Template,project_template,other,not_started,https://us02.procore.com/562949953443325/company/admin/project_template,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/project_template/screenshot.png,,42,0,0,
budget/project_templates,Budget,critical,Project Templates,project_templates,other,not_started,https://us02.procore.com/562949953443325/company/admin/project_templates,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/project_templates/screenshot.png,,25,0,0,
budget/root_cause_analysis,Budget,critical,Root Cause Analysis,root_cause_analysis,other,not_started,https://us02.procore.com/562949953443325/company/admin/root_cause_analysis,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/root_cause_analysis/screenshot.png,,4,0,0,
budget/settings,Budget,critical,Settings,settings,settings,not_started,https://us02.procore.com/webclients/host/companies/562949953443325/tools/connection-hub/settings,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/settings/screenshot.png,,4,0,0,
budget/single_sign_on_configurations,Budget,critical,Single Sign On Configurations,single_sign_on_configurations,settings,not_started,https://us02.procore.com/webclients/host/companies/562949953443325/tools/admin/single_sign_on_configurations,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/single_sign_on_configurations/screenshot.png,,2,0,0,
budget/trades,Budget,critical,Trades,trades,other,not_started,https://us02.procore.com/562949953443325/company/admin/trades,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/trades/screenshot.png,,2,0,0,
budget/uom_master_list,Budget,critical,Uom Master List,uom_master_list,list,not_started,https://us02.procore.com/562949953443325/company/admin/uom_master_list,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/uom_master_list/screenshot.png,,23,0,0,
budget/wbs,Budget,critical,Wbs,wbs,other,not_started,https://us02.procore.com/webclients/host/companies/562949953443325/tools/wbs,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/wbs/screenshot.png,,7,0,0,
budget/webhooks,Budget,critical,Webhooks,webhooks,other,not_started,https://us02.procore.com/webclients/host/companies/562949953443325/tools/webhooks,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/webhooks/screenshot.png,,11,0,0,
budget/what-is-a-test-project,Budget,critical,What Is A Test Project,what-is-a-test-project,other,not_started,https://support.procore.com/faq/what-is-a-test-project,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/what-is-a-test-project/screenshot.png,,10,0,0,
budget/www_procore_com,Budget,critical,Www Procore Com,www_procore_com,other,not_started,http://www.procore.com/,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/budget/procore-budget-crawl/pages/www_procore_com/screenshot.png,,35,0,0,
change-orders/budgeting_report,Change Orders,critical,Budgeting Report,budgeting_report,report,not_started,https://us02.procore.com/562949953443325/company/home/budgeting_report,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/budgeting_report/screenshot.png,,3,0,0,
change-orders/change-orders,Change Orders,critical,Change Orders,change-orders,other,not_started,https://support.procore.com/products/online/user-guide/project-level/change-orders,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/change-orders/screenshot.png,,11,0,0,
change-orders/committed_costs,Change Orders,critical,Committed Costs,committed_costs,other,not_started,https://us02.procore.com/562949953443325/company/home/committed_costs,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/committed_costs/screenshot.png,,3,0,0,
change-orders/configure_tab,Change Orders,critical,Configure Tab,configure_tab,tab,not_started,https://us02.procore.com/562949953443325/company/home/configure_tab,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/configure_tab/screenshot.png,,4,0,0,
change-orders/conversations,Change Orders,critical,Conversations,conversations,other,not_started,https://us02.procore.com/562949953443325/company/conversations,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/conversations/screenshot.png,,5,0,0,
change-orders/erp_integrations,Change Orders,critical,Erp Integrations,erp_integrations,other,not_started,https://us02.procore.com/562949953443325/company/erp_integrations,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/erp_integrations/screenshot.png,,3,0,0,
change-orders/executive_dashboard,Change Orders,critical,Executive Dashboard,executive_dashboard,dashboard,not_started,https://us02.procore.com/562949953443325/company/home/executive_dashboard,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/executive_dashboard/screenshot.png,,8,0,0,
change-orders/health_dashboard,Change Orders,critical,Health Dashboard,health_dashboard,dashboard,not_started,https://us02.procore.com/562949953443325/company/home/health_dashboard,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/health_dashboard/screenshot.png,,7,0,0,
change-orders/home,Change Orders,critical,Home,home,other,not_started,https://us02.procore.com/562949953443325/company/home,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/home/screenshot.png,,3,0,0,
change-orders/job_cost_summary,Change Orders,critical,Job Cost Summary,job_cost_summary,other,not_started,https://us02.procore.com/562949953443325/company/home/job_cost_summary,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/job_cost_summary/screenshot.png,,3,0,0,
change-orders/list,Change Orders,critical,List,list,list,not_started,https://us02.procore.com/562949954728542/project/change_orders/list,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/list/screenshot.png,,6,0,0,
change-orders/list_page_1_sort_5battribute_5d_address_sort_5bdirection_5d_asc,Change Orders,critical,List Page 1 Sort 5battribute 5d Address Sort 5bdirection 5d Asc,list_page_1_sort_5battribute_5d_address_sort_5bdirection_5d_asc,list,not_started,https://us02.procore.com/562949953443325/company/home/list?page=1&sort%5Battribute%5D=address&sort%5Bdirection%5D=asc,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/list_page_1_sort_5battribute_5d_address_sort_5bdirection_5d_asc/screenshot.png,,3,0,0,
change-orders/list_page_1_sort_5battribute_5d_city_sort_5bdirection_5d_asc,Change Orders,critical,List Page 1 Sort 5battribute 5d City Sort 5bdirection 5d Asc,list_page_1_sort_5battribute_5d_city_sort_5bdirection_5d_asc,list,not_started,https://us02.procore.com/562949953443325/company/home/list?page=1&sort%5Battribute%5D=city&sort%5Bdirection%5D=asc,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/list_page_1_sort_5battribute_5d_city_sort_5bdirection_5d_asc/screenshot.png,,3,0,0,
change-orders/list_page_1_sort_5battribute_5d_name_sort_5bdirection_5d_desc,Change Orders,critical,List Page 1 Sort 5battribute 5d Name Sort 5bdirection 5d Desc,list_page_1_sort_5battribute_5d_name_sort_5bdirection_5d_desc,list,not_started,https://us02.procore.com/562949953443325/company/home/list?page=1&sort%5Battribute%5D=name&sort%5Bdirection%5D=desc,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/list_page_1_sort_5battribute_5d_name_sort_5bdirection_5d_desc/screenshot.png,,3,0,0,
change-orders/list_page_1_sort_5battribute_5d_number_sort_5bdirection_5d_asc,Change Orders,critical,List Page 1 Sort 5battribute 5d Number Sort 5bdirection 5d Asc,list_page_1_sort_5battribute_5d_number_sort_5bdirection_5d_asc,list,not_started,https://us02.procore.com/562949953443325/company/home/list?page=1&sort%5Battribute%5D=number&sort%5Bdirection%5D=asc,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/list_page_1_sort_5battribute_5d_number_sort_5bdirection_5d_asc/screenshot.png,,3,0,0,
change-orders/list_page_1_sort_5battribute_5d_state_sort_5bdirection_5d_asc,Change Orders,critical,List Page 1 Sort 5battribute 5d State Sort 5bdirection 5d Asc,list_page_1_sort_5battribute_5d_state_sort_5bdirection_5d_asc,list,not_started,https://us02.procore.com/562949953443325/company/home/list?page=1&sort%5Battribute%5D=state&sort%5Bdirection%5D=asc,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/list_page_1_sort_5battribute_5d_state_sort_5bdirection_5d_asc/screenshot.png,,3,0,0,
change-orders/list_page_1_sort_5battribute_5d_zip_sort_5bdirection_5d_asc,Change Orders,critical,List Page 1 Sort 5battribute 5d Zip Sort 5bdirection 5d Asc,list_page_1_sort_5battribute_5d_zip_sort_5bdirection_5d_asc,list,not_started,https://us02.procore.com/562949953443325/company/home/list?page=1&sort%5Battribute%5D=zip&sort%5Bdirection%5D=asc,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/list_page_1_sort_5battribute_5d_zip_sort_5bdirection_5d_asc/screenshot.png,,3,0,0,
change-orders/list_tab_commitments,Change Orders,critical,List Tab Commitments,list_tab_commitments,list,not_started,https://us02.procore.com/562949954728542/project/change_orders/list?tab=commitments,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/list_tab_commitments/screenshot.png,,6,0,0,
change-orders/map,Change Orders,critical,Map,map,other,not_started,https://us02.procore.com/562949953443325/company/home/map,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/map/screenshot.png,,20,0,0,
change-orders/my_open_items,Change Orders,critical,My Open Items,my_open_items,other,not_started,https://us02.procore.com/562949953443325/company/home/my_open_items,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/my_open_items/screenshot.png,,18,0,0,
change-orders/overdue_commitment_cos,Change Orders,critical,Overdue Commitment Cos,overdue_commitment_cos,other,not_started,https://us02.procore.com/562949954728542/project/reports/overdue_commitment_cos,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/overdue_commitment_cos/screenshot.png,,2,0,0,
change-orders/overdue_prime_contract_cos,Change Orders,critical,Overdue Prime Contract Cos,overdue_prime_contract_cos,other,not_started,https://us02.procore.com/562949954728542/project/reports/overdue_prime_contract_cos,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/overdue_prime_contract_cos/screenshot.png,,2,0,0,
change-orders/pdf,Change Orders,critical,Pdf,pdf,other,not_started,https://us02.procore.com/562949954728542/project/change_orders/#pdf,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/pdf/screenshot.png,,6,0,0,
change-orders/portfolio,Change Orders,critical,Portfolio,portfolio,other,not_started,https://us02.procore.com/562949953443325/company/home/portfolio,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/portfolio/screenshot.png,,6,0,0,
change-orders/prime_potential_change_orders_by_change_reason,Change Orders,critical,Prime Potential Change Orders By Change Reason,prime_potential_change_orders_by_change_reason,other,not_started,https://us02.procore.com/562949954728542/project/reports/prime_potential_change_orders_by_change_reason,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/prime_potential_change_orders_by_change_reason/screenshot.png,,2,0,0,
change-orders/privacy-policy,Change Orders,critical,Privacy Policy,privacy-policy,other,not_started,https://www.procore.com/fine-print/privacy-policy,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/privacy-policy/screenshot.png,,35,0,0,
change-orders/project_variance_report,Change Orders,critical,Project Variance Report,project_variance_report,report,not_started,https://us02.procore.com/562949953443325/company/home/project_variance_report,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/project_variance_report/screenshot.png,,3,0,0,
change-orders/route_to_change_order_package_change_order_package_id_562949955898890_subtab_prime,Change Orders,critical,Route To Change Order Package Change Order Package Id 562949955898890 Subtab Prime,route_to_change_order_package_change_order_package_id_562949955898890_subtab_prime,tab,not_started,https://us02.procore.com/562949954728542/project/change_orders/562949957345977/route_to_change_order_package?change_order_package_id=562949955898890&subtab=prime,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/route_to_change_order_package_change_order_package_id_562949955898890_subtab_prime/screenshot.png,,3,0,0,
change-orders/route_to_change_order_package_change_order_package_id_562949956103149_subtab_prime,Change Orders,critical,Route To Change Order Package Change Order Package Id 562949956103149 Subtab Prime,route_to_change_order_package_change_order_package_id_562949956103149_subtab_prime,tab,not_started,https://us02.procore.com/562949954728542/project/change_orders/562949957345977/route_to_change_order_package?change_order_package_id=562949956103149&subtab=prime,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/route_to_change_order_package_change_order_package_id_562949956103149_subtab_prime/screenshot.png,,3,0,0,
change-orders/route_to_change_order_package_change_order_package_id_562949956351316_subtab_prime,Change Orders,critical,Route To Change Order Package Change Order Package Id 562949956351316 Subtab Prime,route_to_change_order_package_change_order_package_id_562949956351316_subtab_prime,tab,not_started,https://us02.procore.com/562949954728542/project/change_orders/562949957345977/route_to_change_order_package?change_order_package_id=562949956351316&subtab=prime,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/route_to_change_order_package_change_order_package_id_562949956351316_subtab_prime/screenshot.png,,3,0,0,
change-orders/route_to_change_order_package_change_order_package_id_562949956475311_subtab_prime,Change Orders,critical,Route To Change Order Package Change Order Package Id 562949956475311 Subtab Prime,route_to_change_order_package_change_order_package_id_562949956475311_subtab_prime,tab,not_started,https://us02.procore.com/562949954728542/project/change_orders/562949957345977/route_to_change_order_package?change_order_package_id=562949956475311&subtab=prime,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/route_to_change_order_package_change_order_package_id_562949956475311_subtab_prime/screenshot.png,,3,0,0,
change-orders/route_to_change_order_package_change_order_package_id_562949956482890_subtab_prime,Change Orders,critical,Route To Change Order Package Change Order Package Id 562949956482890 Subtab Prime,route_to_change_order_package_change_order_package_id_562949956482890_subtab_prime,tab,not_started,https://us02.procore.com/562949954728542/project/change_orders/562949957345977/route_to_change_order_package?change_order_package_id=562949956482890&subtab=prime,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/route_to_change_order_package_change_order_package_id_562949956482890_subtab_prime/screenshot.png,,3,0,0,
change-orders/thumbnail,Change Orders,critical,Thumbnail,thumbnail,other,not_started,https://us02.procore.com/562949953443325/company/home/thumbnail,/Users/meganharrison/Documents/github/alleato-procore/apps/docs/pages/PLANS/change-orders/crawl-change-orders/pages/thumbnail/screenshot.png,,3,0,0,
